DATE_year,DATE_month,DATE_day,DATE_hour,DATE_minute,DATE_second,GPS_alt,APEN_z,GIMS_roll,GIMS_pitch,GIM1_ym,APEG_gla,APEG_glo
2024,12,28,13,29,29,119904.2816162109,55555,,-10.78,42.67,30.06339836120605,106.6944427490234
2024,12,28,13,29,33,119788.2995605469,55555,,-12.76,42.85,30.06363105773926,106.6945877075195
2024,12,28,13,29,35,119929.9240112305,55555,,-12.83,42.8,30.06376266479492,106.6946563720703
2024,12,28,13,29,37,119972.0077514648,55555,,-12.94,42.6,30.06389236450195,106.6947326660156
2024,12,28,13,29,39,120035.2249145508,55555,,-12.94,42.61,30.06402015686035,106.6948013305664
2024,12,28,13,29,41,120007.6370239258,55555,,-13.12,43.74,30.06415176391602,106.6948776245117
2024,12,28,13,29,43,119942.3446655273,55555,,-13.09,46.98,30.06428337097168,106.6949462890625
2024,12,28,13,29,45,119969.8333740234,55555,,-13.09,46.98,30.06441307067871,106.6950149536133
2024,12,28,13,29,47,119931.94580078119,55555,,-12.13,47.09,30.06452178955078,106.6950759887695
2024,12,28,13,29,49,119984.6496582031,55555,,-12.76,47.04,30.06461906433105,106.6951370239258
2024,12,28,13,29,51,119968.6584472656,55555,,-12.39,47.06,30.06473922729492,106.6952285766602
2024,12,28,13,29,53,119975.3494262695,55555,,-12.39,46.95,30.06486129760742,106.6953201293945
2024,12,28,13,29,55,119989.68505859381,55555,,-12.51,47.02,30.06498336791992,106.6954116821289
2024,12,28,13,29,57,120002.3880004883,55555,,-12.52,47.02,30.06510353088379,106.6955032348633
2024,12,28,13,29,59,120036.6516113281,55555,,-12.6,47.07,30.06522560119629,106.6955947875977
2024,12,28,13,30,1,119990.9362792969,55555,,-12.46,47.08,30.06534576416016,106.695686340332
2024,12,28,13,30,3,120003.5781860352,55555,,-12.5,47.06,30.06546783447266,106.6957778930664
2024,12,28,13,30,5,120004.0664672852,55555,,-12.72,47.01,30.06558609008789,106.6958618164062
2024,12,28,13,30,7,120034.4924926758,55555,,-12.77,47.01,30.06573867797852,106.6959762573242
2024,12,28,13,30,9,120044.1970825195,55555,,-13.19,48.68,30.06586074829102,106.6960754394531
2024,12,28,13,30,11,119953.3309936523,55555,,-11.52,50.15,30.06595039367676,106.6961364746094
2024,12,28,13,30,13,120136.3525390625,55555,,-12.07,50.01,30.06604385375977,106.6962356567383
2024,12,28,13,30,15,119989.1815185547,55555,,-12.07,50.01,30.06614685058594,106.6963500976562
2024,12,28,13,30,17,120048.7976074219,55555,,-12.07,50.01,30.06624984741211,106.6964721679688
2024,12,28,13,30,19,120008.30078125,55555,,-12.3,50.24,30.06635093688965,106.6965866088867
2024,12,28,13,30,21,120018.9590454102,55555,,-12.3,50.24,30.06645584106445,106.6967086791992
2024,12,28,13,30,23,120012.7944946289,55555,,-12.29,50.16,30.06655693054199,106.6968231201172
2024,12,28,13,30,25,119942.6956176758,55555,,-12.57,50.19,30.0666618347168,106.6969451904297
2024,12,28,13,30,27,119953.5064697266,55555,,-12.41,50.31,30.06676292419434,106.6970596313477
2024,12,28,13,30,30,120006.3552856445,55555,,-12.44,50.29,30.06686592102051,106.6971740722656
2024,12,28,13,30,31,120039.9551391602,55555,,-12.33,50.23,30.06696891784668,106.6972961425781
2024,12,28,13,30,34,120008.4991455078,55555,,-12.52,50.2,30.06706809997559,106.6974105834961
