DATE_year,DATE_month,DATE_day,DATE_hour,DATE_minute,DATE_second,GPS_alt,APEN_z,GIMS_roll,GIMS_pitch,GIM1_ym,APEG_gla,APEG_glo
2024,12,28,13,31,40,120.1293716,,,-11.51,49.97,30.06934166,106.701767
2024,12,28,13,31,43,120.0110703,,,-11.51,49.97,30.06941986,106.7019043
2024,12,28,13,31,45,120.0386124,,,-11.51,49.97,30.06949615,106.7020416
2024,12,28,13,31,47,120.0115891,,,-12.4,50.03,30.06957817,106.7021866
2024,12,28,13,31,49,120.1205597,,,-12.52,50.08,30.06965637,106.7023239
2024,12,28,13,31,51,120.0399857,,,-12.65,50.07,30.06973267,106.7024612
2024,12,28,13,31,53,119.8164749,,,-11.23,50.17,30.06979942,106.7025757
2024,12,28,13,31,55,120.0031052,,,-12.37,50.11,30.06987572,106.7026672
2024,12,28,13,31,57,119.9272461,,,-11.82,50.32,30.06999588,106.702774
2024,12,28,13,31,59,119.9901962,,,-11.82,50.32,30.07011223,106.7028656
2024,12,28,13,32,1,120.0129547,,,-12.1,50.2,30.07023048,106.7029724
2024,12,28,13,32,3,119.9789047,,,-12.48,50.06,30.07034874,106.703064
2024,12,28,13,32,5,120.0146332,,,-12.7,50.1,30.0704937,106.703186
2024,12,28,13,32,7,120.0376892,,,-12.88,50.14,30.07057953,106.7032623
2024,12,28,13,32,9,120.0129776,,,-12.98,50.13,30.07072449,106.7033844
2024,12,28,13,32,11,119.9498825,,,-12.98,50.13,30.07084465,106.7034836
2024,12,28,13,32,13,119.9798355,,,-12.98,50.13,30.070961,106.7035751
2024,12,28,13,32,15,119.9403229,,,-12.36,49.32,30.0710659,106.7036667
2024,12,28,13,32,17,120.1571045,,,-12.45,40.18,30.07115364,106.7037277
2024,12,28,13,32,19,119.9701462,,,-11.83,34.74,30.07128334,106.7037964
2024,12,28,13,32,21,119.9713745,,,-11.67,28.45,30.07141685,106.7038651
2024,12,28,13,32,23,119.98629,,,-11.67,28.45,30.07154846,106.7039261
2024,12,28,13,32,25,119.971077,,,-11.67,28.45,30.07168198,106.7039948
2024,12,28,13,32,27,120.0062637,,,-11.67,28.45,30.07181358,106.7040634
2024,12,28,13,32,29,119.9983978,,,-11.67,28.45,30.0719471,106.7041245
2024,12,28,13,32,31,119.9998016,,,-12.02,28.18,30.07208252,106.7041931
2024,12,28,13,32,33,119.9984131,,,-11.83,28.23,30.07221222,106.7042618
2024,12,28,13,32,35,120.017952,,,-11.6,28.22,30.07234573,106.7043228
2024,12,28,13,32,37,119.9774475,,,-11.6,28.24,30.07247734,106.7043915
2024,12,28,13,32,39,119.9925919,,,-11.88,28.38,30.07260895,106.7044601
2024,12,28,13,32,41,119.9286499,,,-7.39,28.34,30.0727005,106.7044983
2024,12,28,13,32,43,120.0130615,,,-11.05,28.4,30.07284546,106.7046051
2024,12,28,13,32,45,120.0137863,,,-11.05,28.4,30.07296753,106.7046967
2024,12,28,13,32,47,120.0195923,,,-11.05,28.4,30.07309151,106.7047882
2024,12,28,13,32,49,119.9860458,,,-11.51,28.46,30.07321167,106.7048798
2024,12,28,13,32,52,119.9717331,,,-11.51,28.46,30.07333374,106.7049713
2024,12,28,13,32,54,120.0418396,,,-11.86,28.45,30.0734539,106.7050629
2024,12,28,13,32,56,120.0340347,,,-11.95,28.45,30.07357407,106.7051544
2024,12,28,13,32,58,120.0340271,,,-10.74,28.53,30.07366562,106.7052231
2024,12,28,13,33,0,119.9515762,,,-12.03,28.41,30.07376862,106.705307
2024,12,28,13,33,2,120.0105286,,,-11.8,28.46,30.07389069,106.7054062
2024,12,28,13,33,4,120.0450745,,,-11.94,28.4,30.07400703,106.7055054
2024,12,28,13,33,6,120.015274,,,-11.91,28.39,30.07412338,106.7056046
2024,12,28,13,33,8,119.922081,,,-11.91,28.39,30.07423973,106.7057037
2024,12,28,13,33,10,120.0247498,,,-11.91,28.39,30.07435417,106.7058029
2024,12,28,13,33,12,119.9984665,,,-11.91,28.39,30.07447052,106.7059021
2024,12,28,13,33,14,120.0060501,,,-11.91,28.39,30.07458687,106.7060013
2024,12,28,13,33,16,119.9665756,,,-12.56,27.44,30.07470131,106.7060928
2024,12,28,13,33,18,120.021965,,,-12.33,27.26,30.07482147,106.7061996
2024,12,28,13,33,20,120.0650406,,,-12.25,24.95,30.07496643,106.7063217
2024,12,28,13,33,22,119.9574966,,,-12.2,24.94,30.07508469,106.7064209
2024,12,28,13,33,24,120.0056305,,,-12.2,24.94,30.07520294,106.7065201
2024,12,28,13,33,26,120.0311279,,,-12.11,24.9,30.07531738,106.7066193
2024,12,28,13,33,28,119.9616241,,,-11.96,24.89,30.07543373,106.7067108
2024,12,28,13,33,30,120.0373306,,,-11.83,24.82,30.07554817,106.70681
2024,12,28,13,33,32,119.9608536,,,-10.32,25.08,30.07563782,106.7068863
2024,12,28,13,33,34,120.0559845,,,-11.37,24.89,30.07573128,106.7069778
2024,12,28,13,33,36,120.0230484,,,-11.5,24.9,30.0758419,106.7070847
2024,12,28,13,33,38,120.0398941,,,-11.52,24.94,30.07595253,106.7071915
2024,12,28,13,33,40,119.9371033,,,-11.52,24.94,30.07606506,106.7072983
2024,12,28,13,33,42,119.9790421,,,-11.52,24.94,30.07617569,106.7074051
2024,12,28,13,33,44,120.0199203,,,-11.86,24.85,30.07628441,106.7075119
2024,12,28,13,33,46,119.9659805,,,-12.02,24.92,30.07639694,106.7076263
2024,12,28,13,33,48,119.9848633,,,-11.99,24.86,30.07650566,106.7077332
2024,12,28,13,33,50,120.020668,,,-12.04,24.89,30.07661629,106.70784
2024,12,28,13,33,52,120.0108948,,,-11.96,24.92,30.07672691,106.7079468
2024,12,28,13,33,54,120.0569687,,,-11.96,24.89,30.07683754,106.7080536
2024,12,28,13,33,56,120.0269165,,,-12.03,24.86,30.07694626,106.7081604
2024,12,28,13,33,59,120.0138397,,,-12.18,24.86,30.07705879,106.7082672
2024,12,28,13,34,0,119.940834,,,-12.2,24.79,30.07716751,106.708374
2024,12,28,13,34,2,120.0182266,,,-12.2,24.79,30.07730675,106.7085114
2024,12,28,13,34,5,120.0742264,,,-12.03,24.88,30.07741547,106.7086182
2024,12,28,13,34,7,119.974472,,,-12.42,24.79,30.07752609,106.708725
2024,12,28,13,34,9,119.9466476,,,-12.42,24.79,30.07763672,106.7088318
2024,12,28,13,34,11,120.041214,,,-12.58,24.76,30.07774353,106.7089386
2024,12,28,13,34,13,120.0344162,,,-13.1,24.72,30.07785225,106.7090454
2024,12,28,13,34,15,119.9976578,,,-11.77,24.91,30.07793236,106.7091217
2024,12,28,13,34,17,120.000145,,,-12.06,24.79,30.07804298,106.7092056
2024,12,28,13,34,19,120.0649261,,,-12.06,24.79,30.07816315,106.7092896
2024,12,28,13,34,21,120.0601044,,,-12.33,24.69,30.07828522,106.7093811
2024,12,28,13,34,23,120.0063248,,,-12.62,24.72,30.07840729,106.7094727
2024,12,28,13,34,25,120.0566711,,,-12.68,24.7,30.07852936,106.7095566
2024,12,28,13,34,27,119.9973221,,,-12.81,24.72,30.07865334,106.7096481
2024,12,28,13,34,29,120.0211258,,,-13.13,24.68,30.07877541,106.7097321
2024,12,28,13,34,31,119.9953766,,,-13.19,24.69,30.07889748,106.7098236
2024,12,28,13,34,33,120.0612869,,,-13.19,24.69,30.07901955,106.7099075
2024,12,28,13,34,35,120.0376129,,,-13.51,24.62,30.07917023,106.710022
2024,12,28,13,34,37,120.0183792,,,-13.48,24.65,30.0792923,106.7101059
2024,12,28,13,34,39,120.0783005,,,-13.41,24.59,30.07941628,106.7101974
2024,12,28,13,34,41,120.0018082,,,-13.41,24.59,30.07954025,106.7102814
2024,12,28,13,34,43,120.0030136,,,-13.41,24.59,30.07966614,106.7103729
2024,12,28,13,34,45,119.999382,,,-13.38,24.65,30.07978821,106.7104645
2024,12,28,13,34,47,119.9894409,,,-13.51,24.75,30.07991028,106.7105484
2024,12,28,13,34,49,119.9641571,,,-13.5,24.77,30.08003235,106.71064
2024,12,28,13,34,51,119.8962021,,,-13.47,24.95,30.08015251,106.7107239
2024,12,28,13,34,53,119.8992386,,,-12.87,25.03,30.08023453,106.7107849
2024,12,28,13,34,55,119.931076,,,-12.37,25,30.08037186,106.7108154
2024,12,28,13,34,57,120.0385513,,,-12.3,25.02,30.08051491,106.7108383
2024,12,28,13,34,59,119.8847351,,,-12.23,19.88,30.08066368,106.7108612
2024,12,28,13,35,1,120.0468216,,,-12.27,13.79,30.08080673,106.7108841
2024,12,28,13,35,3,120.0204468,,,-12.02,11.35,30.08094978,106.710907
2024,12,28,13,35,5,120.0656357,,,-11.81,9.06,30.08109283,106.7109375
2024,12,28,13,35,7,120.0298615,,,-11.91,5.18,30.08123207,106.7109604
2024,12,28,13,35,9,120.0203781,,,-11.91,5.18,30.08137321,106.7109833
2024,12,28,13,35,11,119.9837036,,,-11.91,5.18,30.08151627,106.7110062
2024,12,28,13,35,14,120.011673,,,-11.91,5.18,30.08166122,106.7110291
2024,12,28,13,35,16,119.9754486,,,-11.91,5.18,30.08184052,106.7110596
2024,12,28,13,35,18,120.0302048,,,-12.17,5.09,30.08198357,106.7110825
2024,12,28,13,35,20,119.9978714,,,-12.17,5.09,30.08212662,106.7111053
2024,12,28,13,35,22,119.9734344,,,-12.01,5.19,30.08226967,106.7111282
2024,12,28,13,35,24,119.9391937,,,-7.63,5.34,30.08236504,106.7111435
2024,12,28,13,35,26,120.0745621,,,-11.77,5.44,30.08249855,106.7111664
2024,12,28,13,35,28,119.9746933,,,-11.65,5.39,30.0826416,106.7111893
2024,12,28,13,35,30,119.944603,,,-11.95,5.36,30.08278275,106.7112122
2024,12,28,13,35,32,119.99646,,,-11.95,5.36,30.0829258,106.7112427
2024,12,28,13,35,34,120.025322,,,-11.95,5.36,30.08306885,106.7112656
2024,12,28,13,35,36,119.9835815,,,-12.23,5.28,30.08321571,106.7112885
2024,12,28,13,35,38,120.0068893,,,-12.23,5.28,30.08335876,106.7113113
2024,12,28,13,35,40,119.981842,,,-12.48,5.35,30.08350372,106.7113342
2024,12,28,13,35,42,119.9964981,,,-12.54,5.29,30.08364487,106.7113571
2024,12,28,13,35,44,119.9743118,,,-12.54,5.29,30.08378601,106.71138
2024,12,28,13,35,46,119.9644165,,,-12.54,5.29,30.08392715,106.7114029
2024,12,28,13,35,48,120.0503616,,,-12.54,5.29,30.08407021,106.7114258
2024,12,28,13,35,50,119.9767838,,,-12.08,5.01,30.08417511,106.711441
2024,12,28,13,35,52,119.8573608,,,-11.16,4.92,30.08419609,106.7114487
2024,12,28,13,35,54,119.9752655,,,-10.49,4.93,30.08419609,106.711441
2024,12,28,13,35,56,119.9599304,,,-10.46,4.91,30.08419418,106.711441
